epoch,train_loss,train_acc,val_loss,val_acc,backbone_lr,head_lr,best_val_acc,best_epoch,epochs_without_improvement
20,0.8023376824672406,0.7983846153846154,0.4936786760733678,0.9856410256410256,2.274999999999999e-05,0.00022524999999999992,0.9856410256410256,20,0
21,0.7927845667325534,0.7964615384615384,0.4901341761992528,0.9876923076923076,2.208286224622342e-05,0.00021837157971106217,0.9876923076923076,21,0
22,0.7832052240004906,0.7986153846153846,0.49903092589133824,0.9815384615384616,2.1397681324599097e-05,0.0002113071281398321,0.9876923076923076,21,1
23,0.7927464954669659,0.787,0.48971240499080754,0.9866666666666667,2.069633526840685e-05,0.00020407600845702238,0.9876923076923076,21,2
24,0.7986739156062787,0.7896923076923077,0.48970236888298624,0.9882051282051282,1.998074641843673e-05,0.0001966980406590546,0.9882051282051282,24,0
25,0.7653076696029076,0.8068461538461539,0.4953183425695468,0.9856410256410256,1.9252876153986545e-05,0.00018919344724282683,0.9882051282051282,24,1
26,0.7881074018111596,0.8000769230769231,0.4915767889145093,0.9856410256410256,1.85147195168575e-05,0.00018158279777725497,0.9882051282051282,24,2
27,0.7626568813323975,0.794923076923077,0.48310708162112115,0.9882051282051282,1.776829974308334e-05,0.00017388695252351449,0.9882051282051282,24,3
28,0.7714785808783311,0.8062307692307692,0.4878498641955547,0.9871794871794872,1.7015662717380968e-05,0.00016612700525851415,0.9882051282051282,24,4
29,0.767354117668592,0.8146153846153846,0.49024742202881055,0.9876923076923076,1.6258871365522677e-05,0.00015832422545832003,0.9882051282051282,24,5
30,0.774767265356504,0.7985384615384615,0.4784942447527861,0.9907692307692307,1.5499999999999997e-05,0.0001505,0.9907692307692307,30,0
31,0.7698111232977647,0.8034615384615384,0.48276120852201415,0.9871794871794872,1.4741128634477312e-05,0.00014267577454167988,0.9907692307692307,30,1
32,0.7539961449549748,0.8132307692307692,0.48571193545292585,0.9861538461538462,1.3984337282619023e-05,0.0001348729947414858,0.9907692307692307,30,2
33,0.7364437816876631,0.8096153846153846,0.4814739080270131,0.9876923076923076,1.3231700256916649e-05,0.00012711304747648546,0.9907692307692307,30,3
34,0.7615896284763629,0.8106923076923077,0.48409179632480326,0.9866666666666667,1.2485280483142486e-05,0.00011941720222274495,0.9907692307692307,30,4
35,0.7514020347228417,0.8087692307692308,0.48247199651522515,0.9887179487179487,1.174712384601345e-05,0.00011180655275717316,0.9907692307692307,30,5
36,0.7471929936408996,0.8136923076923077,0.47679325504180714,0.9892307692307692,1.1019253581563261e-05,0.00010430195934094536,0.9907692307692307,30,6
37,0.7532741111241854,0.8191538461538461,0.4767204426496457,0.9892307692307692,1.0303664731593145e-05,9.69239915429776e-05,0.9907692307692307,30,7
38,0.7287247423758874,0.8281538461538461,0.47826885577959893,0.9907692307692307,9.602318675400898e-06,8.969287186016789e-05,0.9907692307692307,30,8
39,0.7229233971008888,0.8128461538461539,0.475071140955656,0.9923076923076923,8.91713775377657e-06,8.262842028893776e-05,0.9923076923076923,39,0
40,0.7240004165906172,0.813076923076923,0.47747435328287957,0.9902564102564102,8.25e-06,7.575000000000004e-05,0.9923076923076923,39,1
41,0.7231089858275194,0.8134615384615385,0.4718687851918049,0.9933333333333333,7.602733992282109e-06,6.907646426525351e-05,0.9933333333333333,41,0
42,0.7122983782291412,0.802923076923077,0.4739606032616053,0.9907692307692307,6.977113841759139e-06,6.26261047822753e-05,0.9933333333333333,41,1
43,0.7177832375489749,0.8296923076923077,0.4747814627794119,0.9912820512820513,6.374854329777358e-06,5.641660153804934e-05,0.9933333333333333,41,2
